flow_tuple,app_name,packet_count,bytes,current_packet_size,time_since_last_packet
121.36.68.44:443->172.20.92.191:59853,CSDNapp,1,692,692,0.007008
120.46.68.203:443->172.20.92.191:59861,CSDNapp,2,1378,686,0.006999
120.46.216.189:443->172.20.92.191:59855,CSDNapp,3,2096,718,0.006997
124.70.62.170:443->172.20.92.191:59860,CSDNapp,4,2754,658,0.008999
120.46.216.189:443->172.20.92.191:59855,CSDNapp,5,4194,1440,0.476753
120.46.68.203:443->172.20.92.191:59861,CSDNapp,6,5642,1448,0.577802
124.70.62.170:443->172.20.92.191:59860,CSDNapp,7,7090,1448,0.265161
120.46.68.203:443->172.20.92.191:59861,CSDNapp,8,7156,66,0.095579
120.46.68.203:443->172.20.92.191:59861,CSDNapp,9,8604,1448,0.004586
121.36.68.44:443->172.20.92.191:59853,CSDNapp,10,10052,1448,0.820972
124.70.62.170:443->172.20.92.191:59860,CSDNapp,11,10118,66,0.139169
120.46.216.189:443->172.20.92.191:59855,CSDNapp,12,10184,66,0.151176
124.70.62.170:443->172.20.92.191:59860,CSDNapp,13,11632,1448,0.013
120.46.216.189:443->172.20.92.191:59855,CSDNapp,14,13072,1440,0.014004
120.46.68.203:443->172.20.92.191:59861,CSDNapp,15,13138,66,0.085007
120.46.68.203:443->172.20.92.191:59861,CSDNapp,16,14586,1448,0.004557
120.46.68.203:443->172.20.92.191:59861,CSDNapp,17,16034,1448,0.003001
120.46.68.203:443->172.20.92.191:59861,CSDNapp,18,17214,1180,0.017
120.46.68.203:443->172.20.92.191:59861,CSDNapp,19,17268,54,0.002997
120.46.68.203:443->172.20.92.191:59861,CSDNapp,20,17415,147,0.002
120.46.68.203:443->172.20.92.191:59861,CSDNapp,21,17568,153,0.003002
120.46.68.203:443->172.20.92.191:59861,CSDNapp,22,18967,1399,0.003001
120.46.68.203:443->172.20.92.191:59861,CSDNapp,23,19074,107,0.002998
124.70.62.170:443->172.20.92.191:59860,CSDNapp,24,19140,66,0.074559
121.36.68.44:443->172.20.92.191:59853,CSDNapp,25,19206,66,0.092106
121.36.68.44:443->172.20.92.191:59853,CSDNapp,26,20654,1448,0.003006
124.70.62.170:443->172.20.92.191:59860,CSDNapp,27,22102,1448,0.009555
124.70.62.170:443->172.20.92.191:59860,CSDNapp,28,23550,1448,0.002998
124.70.62.170:443->172.20.92.191:59860,CSDNapp,29,24730,1180,0.012002
120.46.216.189:443->172.20.92.191:59855,CSDNapp,30,24796,66,0.098113
120.46.216.189:443->172.20.92.191:59855,CSDNapp,31,26244,1448,0.002998
124.70.62.170:443->172.20.92.191:59860,CSDNapp,32,26298,54,0.009001
120.46.216.189:443->172.20.92.191:59855,CSDNapp,33,27746,1448,0.004999
120.46.216.189:443->172.20.92.191:59855,CSDNapp,34,28444,698,0.012002
120.46.216.189:443->172.20.92.191:59855,CSDNapp,35,28498,54,0.006996
124.70.62.170:443->172.20.92.191:59860,CSDNapp,36,28645,147,0.023998
120.46.216.189:443->172.20.92.191:59855,CSDNapp,37,28792,147,0.005003
124.70.62.170:443->172.20.92.191:59860,CSDNapp,38,28945,153,0.004
120.46.216.189:443->172.20.92.191:59855,CSDNapp,39,30385,1440,0.004998
120.46.216.189:443->172.20.92.191:59855,CSDNapp,40,30878,493,0.004558
120.46.216.189:443->172.20.92.191:59855,CSDNapp,41,31066,188,0.003004
124.70.62.170:443->172.20.92.191:59860,CSDNapp,42,32455,1389,0.013562
124.70.62.170:443->172.20.92.191:59860,CSDNapp,43,32630,175,0.001999
120.46.68.203:443->172.20.92.191:59861,CSDNapp,44,32690,60,0.092557
120.46.68.203:443->172.20.92.191:59861,CSDNapp,45,33018,328,0.003999
120.46.68.203:443->172.20.92.191:59861,CSDNapp,46,33163,145,0.003001
120.46.68.203:443->172.20.92.191:59861,CSDNapp,47,33295,132,0.001999
120.46.68.203:443->172.20.92.191:59861,CSDNapp,48,34743,1448,0.002
120.46.68.203:443->172.20.92.191:59861,CSDNapp,49,34809,66,0.004569
120.46.68.203:443->172.20.92.191:59861,CSDNapp,50,34863,54,0.003
120.46.68.203:443->172.20.92.191:59861,CSDNapp,51,34955,92,0.004002
124.70.62.170:443->172.20.92.191:59922,CSDNapp,52,35549,594,0.007
124.70.62.170:443->172.20.92.191:59922,CSDNapp,53,35603,54,0.086559
121.36.68.44:443->172.20.92.191:59853,CSDNapp,54,35669,66,0.207611
121.36.68.44:443->172.20.92.191:59853,CSDNapp,55,37117,1448,0.003997
121.36.68.44:443->172.20.92.191:59853,CSDNapp,56,38565,1448,0.003003
121.36.68.44:443->172.20.92.191:59853,CSDNapp,57,39745,1180,0.011997
124.70.62.170:443->172.20.92.191:59860,CSDNapp,58,39805,60,0.160048
121.36.68.44:443->172.20.92.191:59853,CSDNapp,59,39859,54,0.010583
121.36.68.44:443->172.20.92.191:59853,CSDNapp,60,40006,147,0.012998
121.36.68.44:443->172.20.92.191:59853,CSDNapp,61,40159,153,0.009001
121.36.68.44:443->172.20.92.191:59853,CSDNapp,62,40688,529,0.002998
120.46.68.203:443->172.20.92.191:59861,CSDNapp,63,40873,185,0.163615
124.70.62.170:443->172.20.92.191:59860,CSDNapp,64,41201,328,0.037577
124.70.62.170:443->172.20.92.191:59860,CSDNapp,65,41333,132,0.001999
120.46.216.189:443->172.20.92.191:59855,CSDNapp,66,41393,60,0.207624
120.46.216.189:443->172.20.92.191:59855,CSDNapp,67,41737,344,0.001999
120.46.216.189:443->172.20.92.191:59855,CSDNapp,68,41797,60,0.001999
124.70.62.170:443->172.20.92.191:59860,CSDNapp,69,42162,365,0.009999
124.70.62.170:443->172.20.92.191:59860,CSDNapp,70,42526,364,0.004
