flow_tuple,app_name,packet_count,bytes,current_packet_size,time_since_last_packet
111.32.143.100:443->172.20.92.191:61556,CSDN论坛,1,669,669,0.00739
172.20.92.191:61557->223.95.35.9:443,CSDN论坛,2,1113,444,0.007422
111.32.143.100:443->172.20.92.191:61556,CSDN论坛,3,1173,60,0.274321
111.32.143.100:443->172.20.92.191:61556,CSDN论坛,4,1233,60,0.002626
111.32.143.100:443->172.20.92.191:61556,CSDN论坛,5,1537,304,0.00373
111.32.143.100:443->172.20.92.191:61556,CSDN论坛,6,1671,134,0.010951
172.20.92.191:61557->223.95.35.9:443,CSDN论坛,7,1731,60,0.217729
172.20.92.191:61557->223.95.35.9:443,CSDN论坛,8,1791,60,0.002607
172.20.92.191:61557->223.95.35.9:443,CSDN论坛,9,3239,1448,0.193774
172.20.92.191:61557->223.95.35.9:443,CSDN论坛,10,4687,1448,0.003778
172.20.92.191:61557->223.95.35.9:443,CSDN论坛,11,5952,1265,0.183542
172.20.92.191:61557->223.95.35.9:443,CSDN论坛,12,6006,54,0.005806
172.20.92.191:61557->223.95.35.9:443,CSDN论坛,13,6140,134,0.003126
111.32.143.100:443->172.20.92.191:61556,CSDN论坛,14,6256,116,0.442677
111.32.143.100:443->172.20.92.191:61556,CSDN论坛,15,6310,54,0.093957
172.20.92.191:61557->223.95.35.9:443,CSDN论坛,16,7575,1265,0.132166
172.20.92.191:61557->223.95.35.9:443,CSDN论坛,17,7641,66,0.013546
172.20.92.191:61557->223.95.35.9:443,CSDN论坛,18,7775,134,0.108613
172.20.92.191:61557->223.95.35.9:443,CSDN论坛,19,8100,325,0.046034
172.20.92.191:61557->223.95.35.9:443,CSDN论坛,20,8425,325,0.003143
172.20.92.191:61557->223.95.35.9:443,CSDN论坛,21,8541,116,0.003215
172.20.92.191:61557->223.95.35.9:443,CSDN论坛,22,8595,54,0.002624
172.20.92.191:61557->223.95.35.9:443,CSDN论坛,23,8649,54,2.196299
172.20.92.191:61557->223.95.35.9:443,CSDN论坛,24,8709,60,0.03766
172.20.92.191:61557->223.95.35.9:443,CSDN论坛,25,8763,54,0.013033
111.32.143.100:443->172.20.92.191:61556,CSDN论坛,26,8817,54,2.489746
111.32.143.100:443->172.20.92.191:61556,CSDN论坛,27,8877,60,0.057657
111.32.143.100:443->172.20.92.191:61556,CSDN论坛,28,8931,54,0.004194
123.249.99.208:443->172.20.92.191:61631,CSDN论坛,29,9683,752,0.006655
123.249.99.208:443->172.20.92.191:61631,CSDN论坛,30,9743,60,0.227541
123.249.99.208:443->172.20.92.191:61631,CSDN论坛,31,9803,60,0.002042
123.249.99.208:443->172.20.92.191:61631,CSDN论坛,32,11251,1448,0.010928
123.249.99.208:443->172.20.92.191:61631,CSDN论坛,33,12699,1448,0.003659
123.249.99.208:443->172.20.92.191:61631,CSDN论坛,34,13534,835,0.004763
123.249.99.208:443->172.20.92.191:61631,CSDN论坛,35,13588,54,0.00733
123.249.99.208:443->172.20.92.191:61631,CSDN论坛,36,13706,118,0.002537
123.249.99.208:443->172.20.92.191:61631,CSDN论坛,37,13852,146,0.00209
123.249.99.208:443->172.20.92.191:61631,CSDN论坛,38,15300,1448,0.004255
123.249.99.208:443->172.20.92.191:61631,CSDN论坛,39,15383,83,0.003552
123.249.99.208:443->172.20.92.191:61631,CSDN论坛,40,15791,408,0.00312
123.249.99.208:443->172.20.92.191:61631,CSDN论坛,41,16116,325,0.115284
123.249.99.208:443->172.20.92.191:61631,CSDN论坛,42,16441,325,0.00357
123.249.99.208:443->172.20.92.191:61631,CSDN论坛,43,16557,116,0.002092
123.249.99.208:443->172.20.92.191:61631,CSDN论坛,44,16642,85,0.002515
123.249.99.208:443->172.20.92.191:61631,CSDN论坛,45,16702,60,0.00316
123.249.99.208:443->172.20.92.191:61631,CSDN论坛,46,16791,89,0.002077
123.249.99.208:443->172.20.92.191:61631,CSDN论坛,47,16876,85,0.004027
123.249.99.208:443->172.20.92.191:61631,CSDN论坛,48,18324,1448,0.045767
123.249.99.208:443->172.20.92.191:61631,CSDN论坛,49,18564,240,0.00369
123.249.99.208:443->172.20.92.191:61631,CSDN论坛,50,18618,54,0.002606
111.32.143.100:443->172.20.92.191:61556,CSDN论坛,51,18678,60,0.873619
111.32.143.100:443->172.20.92.191:61556,CSDN论坛,52,18732,54,0.002537
123.249.99.208:443->172.20.92.191:61631,CSDN论坛,53,18792,60,0.129028
117.149.203.21:443->172.20.92.191:61658,CSDN论坛,54,19175,383,0.009241
117.149.203.21:443->172.20.92.191:61662,CSDN论坛,55,19590,415,0.006625
117.149.203.21:443->172.20.92.191:61658,CSDN论坛,56,19650,60,0.199387
117.149.203.21:443->172.20.92.191:61658,CSDN论坛,57,21098,1448,0.004682
117.149.203.21:443->172.20.92.191:61658,CSDN论坛,58,22546,1448,0.002609
117.149.203.21:443->172.20.92.191:61658,CSDN论坛,59,23882,1336,0.00617
117.149.203.21:443->172.20.92.191:61662,CSDN论坛,60,23942,60,0.121842
117.149.203.21:443->172.20.92.191:61658,CSDN论坛,61,23996,54,0.010956
117.149.203.21:443->172.20.92.191:61658,CSDN论坛,62,24130,134,0.00258
117.149.203.21:443->172.20.92.191:61658,CSDN论坛,63,25578,1448,0.003599
117.149.203.21:443->172.20.92.191:61662,CSDN论坛,64,27026,1448,0.018673
117.149.203.21:443->172.20.92.191:61662,CSDN论坛,65,28474,1448,0.003047
117.149.203.21:443->172.20.92.191:61662,CSDN论坛,66,29810,1336,0.005164
117.149.203.21:443->172.20.92.191:61662,CSDN论坛,67,29864,54,0.003087
117.149.203.21:443->172.20.92.191:61662,CSDN论坛,68,29998,134,0.002132
117.149.203.21:443->172.20.92.191:61662,CSDN论坛,69,31446,1448,0.004555
117.149.203.21:443->172.20.92.191:61662,CSDN论坛,70,31506,60,0.010835
117.149.203.21:443->172.20.92.191:61662,CSDN论坛,71,31847,341,0.003082
117.149.203.21:443->172.20.92.191:61662,CSDN论坛,72,32188,341,0.002531
117.149.203.21:443->172.20.92.191:61662,CSDN论坛,73,32248,60,0.002575
117.149.203.21:443->172.20.92.191:61662,CSDN论坛,74,32745,497,0.003129
117.149.203.21:443->172.20.92.191:61658,CSDN论坛,75,32805,60,0.051018
117.149.203.21:443->172.20.92.191:61658,CSDN论坛,76,33146,341,0.003091
117.149.203.21:443->172.20.92.191:61658,CSDN论坛,77,33487,341,0.002573
117.149.203.21:443->172.20.92.191:61658,CSDN论坛,78,33881,394,0.003644
117.149.203.21:443->172.20.92.191:61662,CSDN论坛,79,33941,60,0.023243
117.149.203.21:443->172.20.92.191:61658,CSDN论坛,80,34001,60,0.012861
117.149.203.21:443->172.20.92.191:61658,CSDN论坛,81,35155,1154,0.047693
117.149.203.21:443->172.20.92.191:61658,CSDN论坛,82,35233,78,0.003118
117.149.203.21:443->172.20.92.191:61658,CSDN论坛,83,35293,60,0.002602
117.149.203.21:443->172.20.92.191:61658,CSDN论坛,84,35347,54,0.002484
117.149.203.21:443->172.20.92.191:61658,CSDN论坛,85,35401,54,0.003169
117.149.203.21:443->172.20.92.191:61662,CSDN论坛,86,36457,1056,0.100404
117.149.203.21:443->172.20.92.191:61662,CSDN论坛,87,36535,78,0.003136
