flow_tuple,app_name,packet_count,bytes,current_packet_size,time_since_last_packet
172.20.92.191:60007->39.156.66.14:443, 百度app,1,641,641,0.007999
172.20.92.191:60007->39.156.66.14:443, 百度app,2,701,60,0.675746
172.20.92.191:60007->39.156.66.14:443, 百度app,3,761,60,0.013004
172.20.92.191:60007->39.156.66.14:443, 百度app,4,973,212,0.002997
172.20.92.191:60007->39.156.66.14:443, 百度app,5,1078,105,0.110546
172.20.92.191:60007->39.156.66.14:443, 百度app,6,2055,977,0.004999
172.20.92.191:60007->39.156.66.14:443, 百度app,7,2115,60,0.695261
172.20.92.191:60007->39.156.66.14:443, 百度app,8,2175,60,0.009
172.20.92.191:60007->39.156.66.14:443, 百度app,9,2374,199,0.038122
172.20.92.191:60007->39.156.66.14:443, 百度app,10,2428,54,0.374174
172.20.92.191:60072->39.156.66.14:443, 百度app,11,2909,481,0.007001
172.20.92.191:60072->39.156.66.14:443, 百度app,12,2969,60,0.44946
172.20.92.191:60072->39.156.66.14:443, 百度app,13,3029,60,0.002
172.20.92.191:60072->39.156.66.14:443, 百度app,14,4443,1414,0.046
172.20.92.191:60072->39.156.66.14:443, 百度app,15,5857,1414,0.003001
172.20.92.191:60072->39.156.66.14:443, 百度app,16,7271,1414,0.002999
172.20.92.191:60072->39.156.66.14:443, 百度app,17,7325,54,0.001999
172.20.92.191:60072->39.156.66.14:443, 百度app,18,8502,1177,0.019005
172.20.92.191:60072->39.156.66.14:443, 百度app,19,9679,1177,0.007995
172.20.92.191:60072->39.156.66.14:443, 百度app,20,9745,66,0.019
172.20.92.191:60072->39.156.66.14:443, 百度app,21,9925,180,0.041002
172.20.92.191:60072->39.156.66.14:443, 百度app,22,10887,962,0.017999
172.20.92.191:60072->39.156.66.14:443, 百度app,23,10947,60,0.403903
172.20.92.191:60072->39.156.66.14:443, 百度app,24,11227,280,0.002001
172.20.92.191:60072->39.156.66.14:443, 百度app,25,11287,60,0.001999
172.20.92.191:60072->39.156.66.14:443, 百度app,26,11486,199,0.003001
172.20.92.191:60072->39.156.66.14:443, 百度app,27,11540,54,0.002001
172.20.92.191:60072->39.156.66.14:443, 百度app,28,11739,199,0.261554
172.20.92.191:60072->39.156.66.14:443, 百度app,29,11805,66,0.002
172.20.92.191:60007->39.156.66.14:443, 百度app,30,11859,54,7.019633
172.20.92.191:60007->39.156.66.14:443, 百度app,31,11944,85,0.064996
172.20.92.191:60007->39.156.66.14:443, 百度app,32,12004,60,0.002
172.20.92.191:60007->39.156.66.14:443, 百度app,33,12064,60,0.003003
172.20.92.191:60007->39.156.66.14:443, 百度app,34,12118,54,0.002999
172.20.92.191:60072->39.156.66.14:443, 百度app,35,12178,60,6.920112
172.20.92.191:60072->39.156.66.14:443, 百度app,36,12232,54,0.002
172.20.92.191:60072->39.156.66.14:443, 百度app,37,12287,55,11.726883
172.20.92.191:60072->39.156.66.14:443, 百度app,38,12353,66,0.003
172.20.92.191:60072->39.156.66.14:443, 百度app,39,12413,60,14.969415
172.20.92.191:60072->39.156.66.14:443, 百度app,40,12467,54,0.002002
172.20.92.191:60072->39.156.66.14:443, 百度app,41,12522,55,15.067542
172.20.92.191:60072->39.156.66.14:443, 百度app,42,12588,66,0.006996
172.20.92.191:60072->39.156.66.14:443, 百度app,43,12648,60,15.273479
172.20.92.191:60072->39.156.66.14:443, 百度app,44,12702,54,0.003001
172.20.92.191:60072->39.156.66.14:443, 百度app,45,12787,85,9.526724
172.20.92.191:60072->39.156.66.14:443, 百度app,46,12847,60,0.002001
172.20.92.191:60072->39.156.66.14:443, 百度app,47,12901,54,0.002
172.20.92.191:60072->39.156.66.14:443, 百度app,48,12955,54,0.002001
172.20.92.191:60072->39.156.66.14:443, 百度app,49,13015,60,0.002
172.20.92.191:60072->39.156.66.14:443, 百度app,50,13069,54,0.002
172.20.92.191:60072->39.156.66.14:443, 百度app,51,13129,60,0.002
172.20.92.191:62151->39.156.66.18:443, 百度app,1,673,673,0.007092
172.20.92.191:62151->39.156.66.18:443, 百度app,2,733,60,0.095456
172.20.92.191:62151->39.156.66.18:443, 百度app,3,793,60,0.001998
172.20.92.191:62151->39.156.66.18:443, 百度app,4,1005,212,0.001999
172.20.92.191:62151->39.156.66.18:443, 百度app,5,1110,105,0.003
172.20.92.191:62151->39.156.66.18:443, 百度app,6,2095,985,0.001999
172.20.92.191:62151->39.156.66.18:443, 百度app,7,2155,60,0.027339
172.20.92.191:62151->39.156.66.18:443, 百度app,8,2215,60,0.002001
172.20.92.191:62151->39.156.66.18:443, 百度app,9,2414,199,0.002001
172.20.92.191:62151->39.156.66.18:443, 百度app,10,2468,54,0.045679
172.20.92.191:62151->39.156.66.18:443, 百度app,11,2528,60,13.999374
172.20.92.191:62151->39.156.66.18:443, 百度app,12,2582,54,0.002
172.20.92.191:62151->39.156.66.18:443, 百度app,13,2637,55,14.519566
172.20.92.191:62151->39.156.66.18:443, 百度app,14,2703,66,0.001999
172.20.92.191:62151->39.156.66.18:443, 百度app,15,2763,60,15.207299
172.20.92.191:62151->39.156.66.18:443, 百度app,16,2817,54,0.002
