flow_tuple,app_name,packet_count,bytes,current_packet_size,time_since_last_packet
120.221.238.76:443->172.20.92.191:59799, 知乎app,1,388,388,0.009999
120.221.238.76:443->172.20.92.191:59799, 知乎app,2,448,60,0.256837
120.221.238.76:443->172.20.92.191:59799, 知乎app,3,508,60,0.002807
120.221.238.76:443->172.20.92.191:59799, 知乎app,4,1956,1448,0.004006
120.221.238.76:443->172.20.92.191:59799, 知乎app,5,3404,1448,0.005
120.221.238.76:443->172.20.92.191:59799, 知乎app,6,3458,54,0.001648
120.221.238.76:443->172.20.92.191:59799, 知乎app,7,4820,1362,0.013129
120.221.238.76:443->172.20.92.191:59799, 知乎app,8,5645,825,0.004999
120.221.238.76:443->172.20.92.191:59799, 知乎app,9,5699,54,0.002
120.221.238.76:443->172.20.92.191:59799, 知乎app,10,5846,147,0.002006
120.221.238.76:443->172.20.92.191:59799, 知乎app,11,5999,153,0.001995
120.221.238.76:443->172.20.92.191:59799, 知乎app,12,7447,1448,0.004001
120.221.238.76:443->172.20.92.191:59799, 知乎app,13,8433,986,0.004002
120.221.238.76:443->172.20.92.191:59799, 知乎app,14,8493,60,0.0418
120.221.238.76:443->172.20.92.191:59799, 知乎app,15,8559,66,0.001998
120.221.238.76:443->172.20.92.191:59799, 知乎app,16,8619,60,0.040851
120.221.238.76:443->172.20.92.191:59799, 知乎app,17,8679,60,0.007
120.221.238.76:443->172.20.92.191:59799, 知乎app,18,8739,60,0.002999
120.221.238.76:443->172.20.92.191:59799, 知乎app,19,8799,60,0.003
120.221.238.76:443->172.20.92.191:59799, 知乎app,20,9111,312,0.005002
120.221.238.76:443->172.20.92.191:59799, 知乎app,21,9307,196,0.005
120.221.238.76:443->172.20.92.191:59799, 知乎app,22,9399,92,0.004317
120.221.238.76:443->172.20.92.191:59799, 知乎app,23,9459,60,0.003006
120.221.238.76:443->172.20.92.191:59799, 知乎app,24,9525,66,0.003
120.221.238.76:443->172.20.92.191:59799, 知乎app,25,9585,60,0.091373
120.221.238.76:443->172.20.92.191:59799, 知乎app,26,9651,66,0.001996
120.221.238.76:443->172.20.92.191:59799, 知乎app,27,9711,60,0.002784
120.221.238.76:443->172.20.92.191:59799, 知乎app,28,11159,1448,0.109299
120.221.238.76:443->172.20.92.191:59799, 知乎app,29,11711,552,0.004
120.221.238.76:443->172.20.92.191:59799, 知乎app,30,13159,1448,0.002999
120.221.238.76:443->172.20.92.191:59799, 知乎app,31,14607,1448,0.006002
120.221.238.76:443->172.20.92.191:59799, 知乎app,32,14661,54,0.001998
120.221.238.76:443->172.20.92.191:59799, 知乎app,33,16109,1448,0.003
120.221.238.76:443->172.20.92.191:59799, 知乎app,34,17557,1448,0.005002
120.221.238.76:443->172.20.92.191:59799, 知乎app,35,17623,66,0.003
120.221.238.76:443->172.20.92.191:59799, 知乎app,36,19071,1448,0.005374
120.221.238.76:443->172.20.92.191:59799, 知乎app,37,20519,1448,0.004002
120.221.238.76:443->172.20.92.191:59799, 知乎app,38,20573,54,0.001998
