flow_tuple,app_name,packet_count,bytes,current_packet_size,time_since_last_packet
111.40.179.216:443->172.20.92.191:62650,哔哩哔哩,1,483,483,0.008001
111.40.179.216:443->172.20.92.191:62650,哔哩哔哩,2,543,60,0.34796
111.40.179.216:443->172.20.92.191:62650,哔哩哔哩,3,603,60,0.003
111.40.179.216:443->172.20.92.191:62650,哔哩哔哩,4,2051,1448,0.011001
111.40.179.216:443->172.20.92.191:62650,哔哩哔哩,5,3499,1448,0.004999
111.40.179.216:443->172.20.92.191:62650,哔哩哔哩,6,4947,1448,0.026
111.40.179.216:443->172.20.92.191:62650,哔哩哔哩,7,6395,1448,0.007001
111.40.179.216:443->172.20.92.191:62650,哔哩哔哩,8,6449,54,0.001999
111.40.179.216:443->172.20.92.191:62650,哔哩哔哩,9,6799,350,0.004004
111.40.179.216:443->172.20.92.191:62650,哔哩哔哩,10,6933,134,0.026996
111.40.179.216:443->172.20.92.191:62650,哔哩哔哩,11,7079,146,0.002001
111.40.179.216:443->172.20.92.191:62650,哔哩哔哩,12,8514,1435,0.003003
111.40.179.216:443->172.20.92.191:62650,哔哩哔哩,13,9694,1180,0.002996
111.40.179.216:443->172.20.92.191:62650,哔哩哔哩,14,10767,1073,0.003001
111.40.179.216:443->172.20.92.191:62650,哔哩哔哩,15,11715,948,0.001998
111.40.179.216:443->172.20.92.191:62650,哔哩哔哩,16,12662,947,0.003
111.40.179.216:443->172.20.92.191:62650,哔哩哔哩,17,13027,365,0.093003
111.40.179.216:443->172.20.92.191:62650,哔哩哔哩,18,13087,60,0.002999
111.40.179.216:443->172.20.92.191:62650,哔哩哔哩,19,13147,60,0.003999
111.40.179.216:443->172.20.92.191:62650,哔哩哔哩,20,13512,365,0.005
111.40.179.216:443->172.20.92.191:62650,哔哩哔哩,21,13566,54,0.006
111.40.179.216:443->172.20.92.191:62650,哔哩哔哩,22,13691,125,0.005004
111.40.179.216:443->172.20.92.191:62650,哔哩哔哩,23,13776,85,0.01555
111.40.179.216:443->172.20.92.191:62650,哔哩哔哩,24,14591,815,0.243975
111.40.179.216:443->172.20.92.191:62650,哔哩哔哩,25,15075,484,0.003086
111.40.179.216:443->172.20.92.191:62650,哔哩哔哩,26,15497,422,0.024279
111.40.179.216:443->172.20.92.191:62650,哔哩哔哩,27,15582,85,0.003004
111.40.179.216:443->172.20.92.191:62650,哔哩哔哩,28,15795,213,0.003995
111.40.179.216:443->172.20.92.191:62650,哔哩哔哩,29,15849,54,0.002001
111.40.179.216:443->172.20.92.191:62650,哔哩哔哩,30,15967,118,0.003001
111.40.179.216:443->172.20.92.191:62650,哔哩哔哩,31,16021,54,0.01567
111.40.179.216:443->172.20.92.191:62650,哔哩哔哩,32,17028,1007,0.442837
111.40.179.216:443->172.20.92.191:62650,哔哩哔哩,33,18050,1022,0.003
111.40.179.216:443->172.20.92.191:62650,哔哩哔哩,34,19096,1046,0.004001
111.40.179.216:443->172.20.92.191:62650,哔哩哔哩,35,20081,985,0.003
111.40.179.216:443->172.20.92.191:62650,哔哩哔哩,36,20265,184,0.002999
111.40.179.216:443->172.20.92.191:62650,哔哩哔哩,37,21445,1180,0.001999
111.40.179.216:443->172.20.92.191:62650,哔哩哔哩,38,21633,188,0.003002
111.40.179.216:443->172.20.92.191:62650,哔哩哔哩,39,22702,1069,0.004
111.40.179.216:443->172.20.92.191:62650,哔哩哔哩,40,23522,820,0.002998
111.40.179.216:443->172.20.92.191:62650,哔哩哔哩,41,23582,60,0.211614
111.31.33.20:443->172.20.92.191:62700,哔哩哔哩,42,23968,386,0.006001
111.31.33.20:443->172.20.92.191:62700,哔哩哔哩,43,24028,60,0.130422
111.31.33.20:443->172.20.92.191:62700,哔哩哔哩,44,24088,60,0.002516
111.31.33.20:443->172.20.92.191:62700,哔哩哔哩,45,25536,1448,0.004997
111.31.33.20:443->172.20.92.191:62700,哔哩哔哩,46,26984,1448,0.004003
111.31.33.20:443->172.20.92.191:62700,哔哩哔哩,47,28432,1448,0.013996
111.31.33.20:443->172.20.92.191:62700,哔哩哔哩,48,28604,172,0.004001
111.40.179.216:443->172.20.92.191:62650,哔哩哔哩,49,29072,468,0.206537
111.40.179.216:443->172.20.92.191:62650,哔哩哔哩,50,29190,118,0.001999
111.40.179.216:443->172.20.92.191:62650,哔哩哔哩,51,29414,224,0.005002
111.40.179.216:443->172.20.92.191:62650,哔哩哔哩,52,29499,85,0.002996
111.31.33.20:443->172.20.92.191:62700,哔哩哔哩,53,29553,54,0.018042
111.40.179.216:443->172.20.92.191:62650,哔哩哔哩,54,29607,54,0.007001
111.40.179.216:443->172.20.92.191:62650,哔哩哔哩,55,29820,213,0.009002
111.40.179.216:443->172.20.92.191:62650,哔哩哔哩,56,29938,118,0.002998
111.40.179.216:443->172.20.92.191:62650,哔哩哔哩,57,30162,224,0.002002
111.40.179.216:443->172.20.92.191:62650,哔哩哔哩,58,30247,85,0.001998
111.40.179.216:443->172.20.92.191:62650,哔哩哔哩,59,30485,238,0.003002
111.40.179.216:443->172.20.92.191:62650,哔哩哔哩,60,30603,118,0.002997
111.40.179.216:443->172.20.92.191:62650,哔哩哔哩,61,30657,54,0.004
111.31.33.20:443->172.20.92.191:62700,哔哩哔哩,62,30837,180,0.041999
111.31.33.20:443->172.20.92.191:62700,哔哩哔哩,63,30990,153,0.002001
111.31.33.20:443->172.20.92.191:62700,哔哩哔哩,64,32438,1448,0.004
111.31.33.20:443->172.20.92.191:62700,哔哩哔哩,65,32577,139,0.003621
111.40.179.216:443->172.20.92.191:62650,哔哩哔哩,66,33252,675,0.025138
111.40.179.216:443->172.20.92.191:62650,哔哩哔哩,67,33560,308,0.002997
111.40.179.216:443->172.20.92.191:62650,哔哩哔哩,68,33614,54,0.003
111.31.33.20:443->172.20.92.191:62700,哔哩哔哩,69,33674,60,0.042114
111.31.33.20:443->172.20.92.191:62700,哔哩哔哩,70,33734,60,0.002996
