flow_tuple,app_name,packet_count,bytes,current_packet_size,time_since_last_packet
172.20.92.191:61606->39.156.66.179:443,百度公共资源,1,616,616,0.006779
172.20.92.191:61606->39.156.66.179:443,百度公共资源,2,676,60,0.154197
172.20.92.191:61606->39.156.66.179:443,百度公共资源,3,736,60,0.003205
172.20.92.191:61606->39.156.66.179:443,百度公共资源,4,948,212,0.004705
172.20.92.191:61606->39.156.66.179:443,百度公共资源,5,1053,105,0.004128
172.20.92.191:61606->39.156.66.179:443,百度公共资源,6,2144,1091,0.004215
172.20.92.191:61606->39.156.66.179:443,百度公共资源,7,2204,60,0.014991
172.20.92.191:61606->39.156.66.179:443,百度公共资源,8,2264,60,0.002558
172.20.92.191:61606->39.156.66.179:443,百度公共资源,9,2646,382,0.00837
172.20.92.191:61606->39.156.66.179:443,百度公共资源,10,2700,54,0.033216
172.20.92.191:61606->39.156.66.179:443,百度公共资源,11,2754,54,0.437157
172.20.92.191:61606->39.156.66.179:443,百度公共资源,12,2814,60,0.118222
172.20.92.191:61606->39.156.66.179:443,百度公共资源,13,2899,85,0.002061
172.20.92.191:61606->39.156.66.179:443,百度公共资源,14,2959,60,0.0032
172.20.92.191:61606->39.156.66.179:443,百度公共资源,15,3013,54,0.01354
172.20.92.191:61651->39.156.66.179:443,百度公共资源,16,3661,648,0.007172
172.20.92.191:61651->39.156.66.179:443,百度公共资源,17,3721,60,0.406626
172.20.92.191:61651->39.156.66.179:443,百度公共资源,18,3781,60,0.005148
172.20.92.191:61651->39.156.66.179:443,百度公共资源,19,3993,212,0.003121
172.20.92.191:61651->39.156.66.179:443,百度公共资源,20,4098,105,0.004741
172.20.92.191:61651->39.156.66.179:443,百度公共资源,21,4979,881,0.00418
172.20.92.191:61651->39.156.66.179:443,百度公共资源,22,5039,60,0.127028
172.20.92.191:61651->39.156.66.179:443,百度公共资源,23,5099,60,0.002574
172.20.92.191:61651->39.156.66.179:443,百度公共资源,24,5390,291,0.002576
172.20.92.191:61651->39.156.66.179:443,百度公共资源,25,5444,54,0.283639
172.20.92.191:61651->39.156.66.179:443,百度公共资源,26,5498,54,0.148454
172.20.92.191:61651->39.156.66.179:443,百度公共资源,27,5558,60,0.021172
172.20.92.191:61651->39.156.66.179:443,百度公共资源,28,5643,85,0.003136
172.20.92.191:61651->39.156.66.179:443,百度公共资源,29,5703,60,0.002514
172.20.92.191:61651->39.156.66.179:443,百度公共资源,30,5757,54,0.004606
172.20.92.191:61671->39.156.66.179:443,百度公共资源,31,6405,648,0.007733
172.20.92.191:61674->39.156.66.179:443,百度公共资源,32,6989,584,0.00815
172.20.92.191:61671->39.156.66.179:443,百度公共资源,33,7049,60,0.201484
172.20.92.191:61671->39.156.66.179:443,百度公共资源,34,7261,212,0.003509
172.20.92.191:61671->39.156.66.179:443,百度公共资源,35,7366,105,0.003129
172.20.92.191:61671->39.156.66.179:443,百度公共资源,36,8492,1126,0.00302
172.20.92.191:61674->39.156.66.179:443,百度公共资源,37,8552,60,0.117018
172.20.92.191:61674->39.156.66.179:443,百度公共资源,38,8612,60,0.002039
172.20.92.191:61674->39.156.66.179:443,百度公共资源,39,8824,212,0.003263
172.20.92.191:61674->39.156.66.179:443,百度公共资源,40,8929,105,0.003058
172.20.92.191:61674->39.156.66.179:443,百度公共资源,41,10123,1194,0.003131
172.20.92.191:61671->39.156.66.179:443,百度公共资源,42,10183,60,0.090768
172.20.92.191:61671->39.156.66.179:443,百度公共资源,43,10243,60,0.003027
172.20.92.191:61671->39.156.66.179:443,百度公共资源,44,10625,382,0.005514
172.20.92.191:61674->39.156.66.179:443,百度公共资源,45,10685,60,0.127654
172.20.92.191:61674->39.156.66.179:443,百度公共资源,46,10745,60,0.002131
172.20.92.191:61674->39.156.66.179:443,百度公共资源,47,11127,382,0.003236
172.20.92.191:61671->39.156.66.179:443,百度公共资源,48,11181,54,0.311405
172.20.92.191:61674->39.156.66.179:443,百度公共资源,49,11235,54,0.293428
172.20.92.191:61671->39.156.66.179:443,百度公共资源,50,11289,54,0.24679
172.20.92.191:61671->39.156.66.179:443,百度公共资源,51,11349,60,0.007697
172.20.92.191:61671->39.156.66.179:443,百度公共资源,52,11434,85,0.002641
172.20.92.191:61671->39.156.66.179:443,百度公共资源,53,11494,60,0.002116
172.20.92.191:61671->39.156.66.179:443,百度公共资源,54,11548,54,0.007249
172.20.92.191:61671->39.156.66.179:443,百度公共资源,55,11608,60,0.195601
172.20.92.191:61674->39.156.66.179:443,百度公共资源,56,11693,85,1.293706
172.20.92.191:61674->39.156.66.179:443,百度公共资源,57,11753,60,0.003086
172.20.92.191:61674->39.156.66.179:443,百度公共资源,58,11807,54,0.005746
172.20.92.191:61674->39.156.66.179:443,百度公共资源,59,11861,54,0.002567
172.20.92.191:61674->39.156.66.179:443,百度公共资源,60,11921,60,0.004646
