flow_tuple,app_name,packet_count,bytes,current_packet_size,time_since_last_packet
172.20.92.191:61475->39.156.66.18:443,百度搜索,1,705,705,0.012136
172.20.92.191:61475->39.156.66.18:443,百度搜索,2,765,60,0.578284
172.20.92.191:61475->39.156.66.18:443,百度搜索,3,977,212,0.003099
172.20.92.191:61475->39.156.66.18:443,百度搜索,4,1082,105,0.061847
172.20.92.191:61475->39.156.66.18:443,百度搜索,5,2464,1382,0.02841
172.20.92.191:61475->39.156.66.18:443,百度搜索,6,3366,902,0.0047
172.20.92.191:61475->39.156.66.18:443,百度搜索,7,3426,60,0.133336
172.20.92.191:61475->39.156.66.18:443,百度搜索,8,3486,60,0.004068
172.20.92.191:61475->39.156.66.18:443,百度搜索,9,3546,60,0.00408
172.20.92.191:61475->39.156.66.18:443,百度搜索,10,4149,603,0.009612
172.20.92.191:61475->39.156.66.18:443,百度搜索,11,4203,54,0.211513
172.20.92.191:61475->39.156.66.18:443,百度搜索,12,4257,54,7.770987
172.20.92.191:61475->39.156.66.18:443,百度搜索,13,4317,60,0.145356
172.20.92.191:61475->39.156.66.18:443,百度搜索,14,4402,85,0.007175
172.20.92.191:61475->39.156.66.18:443,百度搜索,15,4462,60,0.002966
172.20.92.191:61475->39.156.66.18:443,百度搜索,16,4516,54,0.009436
172.20.92.191:61475->39.156.66.18:443,百度搜索,17,4576,60,0.306788
