flow_tuple,app_name,packet_count,bytes,current_packet_size,time_since_last_packet
172.20.92.191:61459->39.156.66.14:443,百度游戏,1,609,609,0.010347
172.20.92.191:61474->39.156.66.14:443,百度游戏,2,1314,705,0.009175
172.20.92.191:61459->39.156.66.14:443,百度游戏,3,1374,60,0.693371
172.20.92.191:61459->39.156.66.14:443,百度游戏,4,1434,60,0.002607
172.20.92.191:61459->39.156.66.14:443,百度游戏,5,1646,212,0.0031
172.20.92.191:61474->39.156.66.14:443,百度游戏,6,1706,60,0.463508
172.20.92.191:61474->39.156.66.14:443,百度游戏,7,1766,60,0.003153
172.20.92.191:61474->39.156.66.14:443,百度游戏,8,1978,212,0.003758
172.20.92.191:61474->39.156.66.14:443,百度游戏,9,2083,105,0.040412
172.20.92.191:61459->39.156.66.14:443,百度游戏,10,2188,105,0.060867
172.20.92.191:61474->39.156.66.14:443,百度游戏,11,3477,1289,0.033778
172.20.92.191:61459->39.156.66.14:443,百度游戏,12,4764,1287,0.034242
172.20.92.191:61459->39.156.66.14:443,百度游戏,13,4824,60,0.134969
172.20.92.191:61474->39.156.66.14:443,百度游戏,14,4884,60,0.142839
172.20.92.191:61459->39.156.66.14:443,百度游戏,15,4944,60,0.023942
172.20.92.191:61474->39.156.66.14:443,百度游戏,16,5004,60,0.023362
172.20.92.191:61459->39.156.66.14:443,百度游戏,17,5607,603,0.008807
172.20.92.191:61474->39.156.66.14:443,百度游戏,18,6210,603,0.01385
172.20.92.191:61459->39.156.66.14:443,百度游戏,19,6264,54,0.251051
172.20.92.191:61474->39.156.66.14:443,百度游戏,20,6318,54,0.247342
172.20.92.191:61474->39.156.66.14:443,百度游戏,21,6372,54,7.273434
172.20.92.191:61474->39.156.66.14:443,百度游戏,22,6432,60,0.1124
172.20.92.191:61474->39.156.66.14:443,百度游戏,23,6517,85,0.002565
172.20.92.191:61474->39.156.66.14:443,百度游戏,24,6577,60,0.002113
172.20.92.191:61474->39.156.66.14:443,百度游戏,25,6631,54,0.003101
172.20.92.191:61459->39.156.66.14:443,百度游戏,26,6685,54,7.664757
172.20.92.191:61459->39.156.66.14:443,百度游戏,27,6745,60,0.020105
172.20.92.191:61459->39.156.66.14:443,百度游戏,28,6830,85,0.003325
172.20.92.191:61459->39.156.66.14:443,百度游戏,29,6890,60,0.002145
172.20.92.191:61459->39.156.66.14:443,百度游戏,30,6944,54,0.011608
