flow_tuple,app_name,packet_count,bytes,current_packet_size,time_since_last_packet
112.34.113.250:443->172.20.92.191:59989,百度贴吧,1,586,586,0.008003
112.34.113.250:443->172.20.92.191:59989,百度贴吧,2,646,60,0.98818
112.34.113.250:443->172.20.92.191:59989,百度贴吧,3,858,212,0.002999
112.34.113.250:443->172.20.92.191:59989,百度贴吧,4,963,105,0.076
112.34.113.250:443->172.20.92.191:59989,百度贴吧,5,1875,912,0.003
112.34.113.250:443->172.20.92.191:59989,百度贴吧,6,1935,60,0.602483
112.34.113.250:443->172.20.92.191:59989,百度贴吧,7,1995,60,0.001999
112.34.113.250:443->172.20.92.191:59989,百度贴吧,8,3257,1262,0.396062
112.34.113.250:443->172.20.92.191:59989,百度贴吧,9,4671,1414,0.003633
112.34.113.250:443->172.20.92.191:59989,百度贴吧,10,6085,1414,0.005052
112.34.113.250:443->172.20.92.191:59989,百度贴吧,11,7499,1414,0.004998
112.34.113.250:443->172.20.92.191:59989,百度贴吧,12,8913,1414,0.002
112.34.113.250:443->172.20.92.191:59989,百度贴吧,13,8979,66,0.005001
112.34.113.250:443->172.20.92.191:59989,百度贴吧,14,9045,66,0.002998
112.34.113.250:443->172.20.92.191:59989,百度贴吧,15,10459,1414,0.004001
112.34.113.250:443->172.20.92.191:59989,百度贴吧,16,11873,1414,0.003001
112.34.113.250:443->172.20.92.191:59989,百度贴吧,17,11939,66,0.002999
112.34.113.250:443->172.20.92.191:59989,百度贴吧,18,13353,1414,0.004
112.34.113.250:443->172.20.92.191:59989,百度贴吧,19,14767,1414,0.003001
112.34.113.250:443->172.20.92.191:59989,百度贴吧,20,14833,66,0.002999
112.34.113.250:443->172.20.92.191:59989,百度贴吧,21,16247,1414,0.004
112.34.113.250:443->172.20.92.191:59989,百度贴吧,22,16301,54,0.015
112.34.113.250:443->172.20.92.191:59989,百度贴吧,23,17715,1414,0.375172
112.34.113.250:443->172.20.92.191:59989,百度贴吧,24,19129,1414,0.506757
112.34.113.250:443->172.20.92.191:59989,百度贴吧,25,19195,66,0.01
112.34.113.250:443->172.20.92.191:59989,百度贴吧,26,20609,1414,0.005
112.34.113.250:443->172.20.92.191:59989,百度贴吧,27,22023,1414,0.003001
112.34.113.250:443->172.20.92.191:59989,百度贴吧,28,22097,74,0.001999
112.34.113.250:443->172.20.92.191:59989,百度贴吧,29,22163,66,0.002
112.34.113.250:443->172.20.92.191:59989,百度贴吧,30,23577,1414,0.003001
112.34.113.250:443->172.20.92.191:59989,百度贴吧,31,24857,1280,0.003001
112.34.113.250:443->172.20.92.191:59989,百度贴吧,32,24911,54,0.001999
112.34.113.250:443->172.20.92.191:59989,百度贴吧,33,26325,1414,0.003001
112.34.113.250:443->172.20.92.191:59989,百度贴吧,34,27739,1414,0.003
112.34.113.250:443->172.20.92.191:59989,百度贴吧,35,27805,66,0.006
112.34.113.250:443->172.20.92.191:59989,百度贴吧,36,27871,66,0.003
