flow_tuple,app_name,packet_count,bytes,current_packet_size,time_since_last_packet
172.20.92.191:61443->39.156.68.115:443,百度阅读,1,553,553,0.010006
172.20.92.191:61443->39.156.68.115:443,百度阅读,2,613,60,0.811005
172.20.92.191:61443->39.156.68.115:443,百度阅读,3,825,212,0.004107
172.20.92.191:61443->39.156.68.115:443,百度阅读,4,930,105,0.060005
172.20.92.191:61443->39.156.68.115:443,百度阅读,5,2225,1295,0.033445
172.20.92.191:61443->39.156.68.115:443,百度阅读,6,2285,60,0.160057
172.20.92.191:61443->39.156.68.115:443,百度阅读,7,2345,60,0.006996
172.20.92.191:61443->39.156.68.115:443,百度阅读,8,2471,126,0.006984
172.20.92.191:61443->39.156.68.115:443,百度阅读,9,2896,425,0.002088
172.20.92.191:61443->39.156.68.115:443,百度阅读,10,2962,66,0.012978
172.20.92.191:61443->39.156.68.115:443,百度阅读,11,3088,126,0.021675
172.20.92.191:61443->39.156.68.115:443,百度阅读,12,3154,66,0.003175
172.20.92.191:61443->39.156.68.115:443,百度阅读,13,3208,54,0.070952
172.20.92.191:61443->39.156.68.115:443,百度阅读,14,3633,425,0.028287
172.20.92.191:61443->39.156.68.115:443,百度阅读,15,3699,66,0.007385
172.20.92.191:61443->39.156.68.115:443,百度阅读,16,3759,60,0.131166
172.20.92.191:61443->39.156.68.115:443,百度阅读,17,3844,85,0.003619
172.20.92.191:61443->39.156.68.115:443,百度阅读,18,3904,60,0.002529
172.20.92.191:61443->39.156.68.115:443,百度阅读,19,3958,54,0.002558
172.20.92.191:61443->39.156.68.115:443,百度阅读,20,4018,60,0.145447
172.20.92.191:61523->39.156.68.30:443,百度阅读,21,4635,617,0.007235
172.20.92.191:61523->39.156.68.30:443,百度阅读,22,4695,60,0.3403
172.20.92.191:61523->39.156.68.30:443,百度阅读,23,4907,212,0.003667
172.20.92.191:61523->39.156.68.30:443,百度阅读,24,5012,105,0.00421
172.20.92.191:61523->39.156.68.30:443,百度阅读,25,6313,1301,0.005287
172.20.92.191:61523->39.156.68.30:443,百度阅读,26,6373,60,0.023607
172.20.92.191:61523->39.156.68.30:443,百度阅读,27,6433,60,0.0021
172.20.92.191:61523->39.156.68.30:443,百度阅读,28,6858,425,0.004745
172.20.92.191:61523->39.156.68.30:443,百度阅读,29,6985,127,0.002597
172.20.92.191:61523->39.156.68.30:443,百度阅读,30,7112,127,0.015183
172.20.92.191:61523->39.156.68.30:443,百度阅读,31,7178,66,0.00265
172.20.92.191:61523->39.156.68.30:443,百度阅读,32,7232,54,0.009418
172.20.92.191:61523->39.156.68.30:443,百度阅读,33,7317,85,0.213752
172.20.92.191:61523->39.156.68.30:443,百度阅读,34,7377,60,0.002631
172.20.92.191:61523->39.156.68.30:443,百度阅读,35,7431,54,0.002606
172.20.92.191:61523->39.156.68.30:443,百度阅读,36,7491,60,0.060004
172.20.92.191:61523->39.156.68.30:443,百度阅读,37,7551,60,0.013642
