flow_tuple,app_name,packet_count,bytes,current_packet_size,time_since_last_packet
172.20.92.191:59813->36.131.201.71:443,知乎,1,482,482,0.00784
172.20.92.191:59813->36.131.201.71:443,知乎,2,542,60,0.39239
172.20.92.191:59813->36.131.201.71:443,知乎,3,602,60,0.002006
172.20.92.191:59813->36.131.201.71:443,知乎,4,2050,1448,0.004
172.20.92.191:59813->36.131.201.71:443,知乎,5,3498,1448,0.003
172.20.92.191:59813->36.131.201.71:443,知乎,6,3552,54,0.002999
172.20.92.191:59813->36.131.201.71:443,知乎,7,5000,1448,0.021001
172.20.92.191:59813->36.131.201.71:443,知乎,8,5251,251,0.005001
172.20.92.191:59813->36.131.201.71:443,知乎,9,5305,54,0.005538
172.20.92.191:59813->36.131.201.71:443,知乎,10,5452,147,0.011962
172.20.92.191:59813->36.131.201.71:443,知乎,11,5512,60,0.035861
172.20.92.191:59813->36.131.201.71:443,知乎,12,5572,60,0.003001
172.20.92.191:59813->36.131.201.71:443,知乎,13,5638,66,0.005019
172.20.92.191:59813->36.131.201.71:443,知乎,14,5704,66,0.003007
172.20.92.191:59813->36.131.201.71:443,知乎,15,5764,60,0.009324
172.20.92.191:59813->36.131.201.71:443,知乎,16,6076,312,0.003006
172.20.92.191:59813->36.131.201.71:443,知乎,17,6136,60,0.089394
172.20.92.191:59813->36.131.201.71:443,知乎,18,6202,66,0.003
172.20.92.191:59813->36.131.201.71:443,知乎,19,6262,60,0.133672
172.20.92.191:59813->36.131.201.71:443,知乎,20,6328,66,0.016999
111.6.56.83:443->172.20.92.191:59849,知乎,21,6746,418,0.010508
111.6.56.83:443->172.20.92.191:59849,知乎,22,6806,60,0.170599
111.6.56.83:443->172.20.92.191:59849,知乎,23,6866,60,0.003005
111.6.56.83:443->172.20.92.191:59849,知乎,24,8314,1448,0.004769
111.6.56.83:443->172.20.92.191:59849,知乎,25,9762,1448,0.00464
111.6.56.83:443->172.20.92.191:59849,知乎,26,9816,54,0.003007
111.6.56.83:443->172.20.92.191:59849,知乎,27,11264,1448,0.022376
111.6.56.83:443->172.20.92.191:59849,知乎,28,11515,251,0.004811
111.6.56.83:443->172.20.92.191:59849,知乎,29,11569,54,0.004972
111.6.56.83:443->172.20.92.191:59849,知乎,30,11716,147,0.002512
111.6.56.83:443->172.20.92.191:59849,知乎,31,11869,153,0.002998
111.6.56.83:443->172.20.92.191:59849,知乎,32,12404,535,0.004002
111.6.56.83:443->172.20.92.191:59849,知乎,33,12552,148,0.003999
111.6.56.83:443->172.20.92.191:59849,知乎,34,12697,145,0.003
111.6.56.83:443->172.20.92.191:59849,知乎,35,12757,60,0.012949
111.6.56.83:443->172.20.92.191:59849,知乎,36,12817,60,0.008954
111.6.56.83:443->172.20.92.191:59849,知乎,37,12883,66,0.004032
111.6.56.83:443->172.20.92.191:59849,知乎,38,12949,66,0.003999
111.6.56.83:443->172.20.92.191:59849,知乎,39,13009,60,0.146764
111.6.56.83:443->172.20.92.191:59849,知乎,40,13069,60,0.003001
111.6.56.83:443->172.20.92.191:59849,知乎,41,13129,60,0.00382
111.6.56.83:443->172.20.92.191:59849,知乎,42,13189,60,0.003006
111.6.56.83:443->172.20.92.191:59849,知乎,43,13249,60,0.004498
111.6.56.83:443->172.20.92.191:59849,知乎,44,13561,312,0.004745
111.6.56.83:443->172.20.92.191:59849,知乎,45,13677,116,0.004139
111.6.56.83:443->172.20.92.191:59849,知乎,46,13773,96,0.002994
111.6.56.83:443->172.20.92.191:59849,知乎,47,13865,92,0.004009
111.6.56.83:443->172.20.92.191:59849,知乎,48,14373,508,0.003996
111.6.56.83:443->172.20.92.191:59849,知乎,49,15821,1448,0.004
111.6.56.83:443->172.20.92.191:59849,知乎,50,17269,1448,0.002998
111.6.56.83:443->172.20.92.191:59849,知乎,51,18717,1448,0.005998
111.6.56.83:443->172.20.92.191:59849,知乎,52,18771,54,0.002999
111.6.56.83:443->172.20.92.191:59849,知乎,53,20000,1229,0.007002
111.6.56.83:443->172.20.92.191:59849,知乎,54,20054,54,0.004001
111.6.56.83:443->172.20.92.191:59849,知乎,55,20384,330,0.003195
111.6.56.83:443->172.20.92.191:59849,知乎,56,20715,331,0.003678
111.6.56.83:443->172.20.92.191:59849,知乎,57,20769,54,0.00351
111.6.56.83:443->172.20.92.191:59849,知乎,58,22217,1448,0.005003
111.6.56.83:443->172.20.92.191:59849,知乎,59,23665,1448,0.0042
111.6.56.83:443->172.20.92.191:59849,知乎,60,23719,54,0.002002
111.6.56.83:443->172.20.92.191:59849,知乎,61,25167,1448,0.004001
111.6.56.83:443->172.20.92.191:59849,知乎,62,26615,1448,0.004679
111.6.56.83:443->172.20.92.191:59849,知乎,63,26669,54,0.003
111.6.56.83:443->172.20.92.191:59849,知乎,64,28117,1448,0.00409
111.6.56.83:443->172.20.92.191:59849,知乎,65,28183,66,0.004509
111.6.56.83:443->172.20.92.191:59849,知乎,66,29631,1448,0.011001
