flow_tuple,app_name,packet_count,bytes,current_packet_size,time_since_last_packet
120.92.107.6:443->172.20.92.191:60093,知乎app,1,523,523,0.006999
120.92.107.6:443->172.20.92.191:60093,知乎app,2,583,60,0.560369
120.92.107.6:443->172.20.92.191:60093,知乎app,3,643,60,0.003002
120.92.107.6:443->172.20.92.191:60093,知乎app,4,2091,1448,0.003998
120.92.107.6:443->172.20.92.191:60093,知乎app,5,3539,1448,0.003
120.92.107.6:443->172.20.92.191:60093,知乎app,6,4230,691,0.012
120.92.107.6:443->172.20.92.191:60093,知乎app,7,4284,54,0.005999
120.92.107.6:443->172.20.92.191:60093,知乎app,8,4423,139,0.437179
120.92.107.6:443->172.20.92.191:60093,知乎app,9,4568,145,0.002002
120.92.107.6:443->172.20.92.191:60093,知乎app,10,5062,494,0.002
120.92.107.6:443->172.20.92.191:60093,知乎app,11,5122,60,0.43538
120.92.107.6:443->172.20.92.191:60093,知乎app,12,5426,304,0.002001
120.92.107.6:443->172.20.92.191:60093,知乎app,13,5550,124,0.003
120.92.107.6:443->172.20.92.191:60093,知乎app,14,5634,84,0.134
120.92.107.6:443->172.20.92.191:60093,知乎app,15,6005,371,0.057637
120.92.107.6:443->172.20.92.191:60093,知乎app,16,6059,54,0.438137
120.92.107.6:443->172.20.92.191:60093,知乎app,17,6329,270,0.033997
120.92.107.6:443->172.20.92.191:60093,知乎app,18,6689,360,0.002
120.92.107.6:443->172.20.92.191:60093,知乎app,19,6749,60,0.12
120.92.107.6:443->172.20.92.191:60093,知乎app,20,7325,576,0.63819
120.92.107.6:443->172.20.92.191:60093,知乎app,21,7385,60,0.126877
120.92.107.6:443->172.20.92.191:60093,知乎app,22,7642,257,0.037512
120.92.107.6:443->172.20.92.191:60093,知乎app,23,7696,54,0.102
120.92.107.6:443->172.20.92.191:60093,知乎app,24,7751,55,15.98472
120.92.107.6:443->172.20.92.191:60093,知乎app,25,7817,66,0.008001
120.92.107.6:443->172.20.92.191:60093,知乎app,26,7872,55,30.050201
120.92.107.6:443->172.20.92.191:60093,知乎app,27,7938,66,0.004
120.92.107.6:443->172.20.92.191:60093,知乎app,28,7993,55,30.10533
120.92.107.6:443->172.20.92.191:60093,知乎app,29,8059,66,0.002
120.92.107.6:443->172.20.92.191:60093,知乎app,30,8114,55,30.001759
120.92.107.6:443->172.20.92.191:60093,知乎app,31,8180,66,0.003001
120.92.107.6:443->172.20.92.191:60093,知乎app,32,8235,55,30.066769
120.92.107.6:443->172.20.92.191:60093,知乎app,33,8301,66,0.005999
120.92.107.6:443->172.20.92.191:60093,知乎app,34,8393,92,29.847184
120.92.107.6:443->172.20.92.191:60093,知乎app,35,8470,77,0.002
120.92.107.6:443->172.20.92.191:60093,知乎app,36,8530,60,0.002003
120.92.107.6:443->172.20.92.191:60093,知乎app,37,8584,54,0.001997
120.92.107.6:443->172.20.92.191:60093,知乎app,38,8638,54,0.002
120.92.107.6:443->172.20.92.191:60093,知乎app,39,8698,60,0.008
